"State_Code_Dest","County_Code_Dest","State_Code_Origin","County_Code_Origin","State_Abbrv","State_Name","Return_Num","Exmpt_Num","Aggr_AGI"
00,000,96,000,"US","US Total Mig - US & For",2920977,5460987,132499511
00,000,97,000,"US","US Total Mig - US",2836418,5282519,128371628
00,000,98,000,"US","US Total Mig - Foreign",84559,178468,4127883
01,000,96,000,"AL","AL Total Mig - US & For",42627,89395,1761417
01,000,97,000,"AL","AL Total Mig - US",41700,87143,1718268
01,000,98,000,"AL","AL Total Mig - Foreign",927,2252,43148
01,000,01,000,"AL","AL Non-Migrants",1604990,3609606,79341033
01,000,13,000,"GA","GEORGIA",7269,15404,256014
01,000,12,000,"FL","FLORIDA",6086,12305,240772
01,000,47,000,"TN","TENNESSEE",3336,6819,128374
01,000,48,000,"TX","TEXAS",2613,5751,118517
01,000,28,000,"MS","MISSISSIPPI",2597,5504,99163
01,000,06,000,"CA","CALIFORNIA",1510,3107,65910
01,000,37,000,"NC","NORTH CAROLINA",1476,3208,64372
01,000,51,000,"VA","VIRGINIA",1240,2669,74025
01,000,22,000,"LA","LOUISIANA",1136,2330,50084
01,000,26,000,"MI","MICHIGAN",1116,2295,41505
01,000,39,000,"OH","OHIO",1009,2032,42037
01,000,36,000,"NY","NEW YORK",1001,1980,36542
01,000,17,000,"IL","ILLINOIS",968,1942,39116
01,000,57,000,"FR","Foreign",927,2252,43148
01,000,21,000,"KY","KENTUCKY",848,1841,35217
01,000,45,000,"SC","SOUTH CAROLINA",840,1826,35883
01,000,18,000,"IN","INDIANA",713,1406,27767
01,000,29,000,"MO","MISSOURI",619,1238,26936
01,000,08,000,"CO","COLORADO",563,1251,24828
01,000,53,000,"WA","WASHINGTON",550,1202,26340
01,000,42,000,"PA","PENNSYLVANIA",509,972,25728
01,000,04,000,"AZ","ARIZONA",465,1005,22913
01,000,24,000,"MD","MARYLAND",443,897,24626
01,000,05,000,"AR","ARKANSAS",431,926,18390
01,000,20,000,"KS","KANSAS",397,981,18616
01,000,40,000,"OK","OKLAHOMA",379,874,17665
01,000,34,000,"NJ","NEW JERSEY",328,625,15025
01,000,55,000,"WI","WISCONSIN",279,576,11467
01,000,25,000,"MA","MASSACHUSETTS",253,448,10713
01,000,15,000,"HI","HAWAII",249,617,10516
01,000,32,000,"NV","NEVADA",225,466,9510
01,000,02,000,"AK","ALASKA",209,528,9065
01,000,19,000,"IA","IOWA",202,420,10594
01,000,09,000,"CT","CONNECTICUT",197,327,8873
01,000,27,000,"MN","MINNESOTA",178,337,6354
01,000,49,000,"UT","UTAH",172,402,6355
01,000,35,000,"NM","NEW MEXICO",156,344,7474
01,000,41,000,"OR","OREGON",138,287,5870
01,000,54,000,"WV","WEST VIRGINIA",122,268,7193
01,000,31,000,"NE","NEBRASKA",117,229,5161
01,000,23,000,"ME","MAINE",97,189,4424
01,000,33,000,"NH","NEW HAMPSHIRE",95,179,4079
01,000,46,000,"SD","SOUTH DAKOTA",76,154,2719
01,000,16,000,"ID","IDAHO",75,171,2635
01,000,56,000,"WY","WYOMING",73,144,2488
01,000,11,000,"DC","DISTRICT OF COLUMBIA",71,99,4168
01,000,30,000,"MT","MONTANA",66,147,2449
01,000,44,000,"RI","RHODE ISLAND",65,136,3028
01,000,38,000,"ND","NORTH DAKOTA",60,129,3518
01,000,10,000,"DE","DELAWARE",59,113,2327
01,000,50,000,"VT","VERMONT",24,43,924
02,000,96,000,"AK","AK Total Mig - US & For",16559,32657,637746
02,000,97,000,"AK","AK Total Mig - US",15820,31007,609492
02,000,98,000,"AK","AK Total Mig - Foreign",739,1650,28254
02,000,02,000,"AK","AK Non-Migrants",246182,518613,15662324
02,000,06,000,"CA","CALIFORNIA",1629,2959,57688
02,000,53,000,"WA","WASHINGTON",1593,2858,56867
02,000,48,000,"TX","TEXAS",1122,2506,56952
02,000,41,000,"OR","OREGON",846,1539,29731
02,000,12,000,"FL","FLORIDA",832,1607,31784
02,000,57,000,"FR","Foreign",739,1650,28254
02,000,08,000,"CO","COLORADO",617,1153,26165
02,000,04,000,"AZ","ARIZONA",520,965,20051
02,000,13,000,"GA","GEORGIA",464,1039,20614
02,000,26,000,"MI","MICHIGAN",446,788,15222
02,000,51,000,"VA","VIRGINIA",392,876,16736
02,000,37,000,"NC","NORTH CAROLINA",386,840,13944
02,000,32,000,"NV","NEVADA",372,704,13464
02,000,16,000,"ID","IDAHO",362,705,13614
02,000,27,000,"MN","MINNESOTA",341,558,13438
02,000,30,000,"MT","MONTANA",338,599,12899
02,000,36,000,"NY","NEW YORK",319,544,10754
02,000,17,000,"IL","ILLINOIS",307,552,10375
02,000,15,000,"HI","HAWAII",300,646,10697
02,000,39,000,"OH","OHIO",290,529,10075
02,000,40,000,"OK","OKLAHOMA",274,649,11664
02,000,49,000,"UT","UTAH",272,661,10890
02,000,29,000,"MO","MISSOURI",263,606,10039
02,000,47,000,"TN","TENNESSEE",247,564,9800
02,000,55,000,"WI","WISCONSIN",244,458,10475
