"State_Code_Origin","County_Code_Origin","State_Code_Dest","County_Code_Dest","State_Abbrv","State_Name","Return_Num","Exmpt_Num","Aggr_AGI"
00,000,96,000,"US","US Total Mig - US & For",2940155,5475457,133354535
00,000,97,000,"US","US Total Mig - US",2836418,5282519,128371628
00,000,98,000,"US","US Total Mig - Foreign",103737,192938,4982907
01,000,96,000,"AL","AL Total Mig - US & For",40170,81092,1575806
01,000,97,000,"AL","AL Total Mig - US",39098,78900,1530544
01,000,98,000,"AL","AL Total Mig - Foreign",1072,2192,45262
01,000,01,000,"AL","AL Non-Migrants",1604990,3609606,79341033
01,000,13,000,"GA","GEORGIA",6962,13766,228017
01,000,12,000,"FL","FLORIDA",5526,10677,208504
01,000,47,000,"TN","TENNESSEE",3351,6712,143978
01,000,48,000,"TX","TEXAS",3180,6730,138898
01,000,28,000,"MS","MISSISSIPPI",2408,4841,81724
01,000,37,000,"NC","NORTH CAROLINA",1518,3141,67128
01,000,22,000,"LA","LOUISIANA",1330,2709,51806
01,000,06,000,"CA","CALIFORNIA",1283,2465,46183
01,000,51,000,"VA","VIRGINIA",1179,2503,62589
01,000,57,000,"FR","Foreign",1072,2192,45262
01,000,45,000,"SC","SOUTH CAROLINA",861,1733,37190
01,000,36,000,"NY","NEW YORK",795,1487,23553
01,000,39,000,"OH","OHIO",772,1531,27567
01,000,17,000,"IL","ILLINOIS",755,1491,27916
01,000,21,000,"KY","KENTUCKY",729,1619,30317
01,000,26,000,"MI","MICHIGAN",691,1391,21065
01,000,08,000,"CO","COLORADO",593,1205,25893
01,000,29,000,"MO","MISSOURI",522,1066,24323
01,000,18,000,"IN","INDIANA",496,1057,21592
01,000,42,000,"PA","PENNSYLVANIA",483,979,21159
01,000,24,000,"MD","MARYLAND",459,875,20248
01,000,53,000,"WA","WASHINGTON",457,996,20375
01,000,04,000,"AZ","ARIZONA",452,887,20510
01,000,05,000,"AR","ARKANSAS",429,967,15871
01,000,40,000,"OK","OKLAHOMA",405,898,15854
01,000,20,000,"KS","KANSAS",386,957,17293
01,000,25,000,"MA","MASSACHUSETTS",241,443,10881
01,000,02,000,"AK","ALASKA",230,534,10033
01,000,34,000,"NJ","NEW JERSEY",226,457,9383
01,000,55,000,"WI","WISCONSIN",213,444,8274
01,000,15,000,"HI","HAWAII",210,445,7804
01,000,32,000,"NV","NEVADA",192,365,7135
01,000,27,000,"MN","MINNESOTA",166,315,7431
01,000,35,000,"NM","NEW MEXICO",166,382,9289
01,000,49,000,"UT","UTAH",165,358,9447
01,000,41,000,"OR","OREGON",145,270,5179
01,000,19,000,"IA","IOWA",141,280,6780
01,000,31,000,"NE","NEBRASKA",134,312,4862
01,000,54,000,"WV","WEST VIRGINIA",134,255,4754
01,000,09,000,"CT","CONNECTICUT",123,224,5008
01,000,11,000,"DC","DISTRICT OF COLUMBIA",78,99,2988
01,000,46,000,"SD","SOUTH DAKOTA",64,122,3217
01,000,30,000,"MT","MONTANA",62,130,2815
01,000,16,000,"ID","IDAHO",60,143,2132
01,000,23,000,"ME","MAINE",60,119,2892
01,000,33,000,"NH","NEW HAMPSHIRE",58,105,2536
01,000,38,000,"ND","NORTH DAKOTA",52,97,1430
01,000,56,000,"WY","WYOMING",52,101,1845
01,000,10,000,"DE","DELAWARE",51,113,1928
01,000,44,000,"RI","RHODE ISLAND",34,63,1991
01,000,50,000,"VT","VERMONT",19,41,957
02,000,96,000,"AK","AK Total Mig - US & For",14409,28932,652250
02,000,97,000,"AK","AK Total Mig - US",13864,27727,626303
02,000,98,000,"AK","AK Total Mig - Foreign",545,1205,25946
02,000,02,000,"AK","AK Non-Migrants",246182,518613,15662324
02,000,53,000,"WA","WASHINGTON",1617,2841,74609
02,000,06,000,"CA","CALIFORNIA",1236,2281,46362
02,000,48,000,"TX","TEXAS",1124,2580,62079
02,000,41,000,"OR","OREGON",777,1324,34506
02,000,04,000,"AZ","ARIZONA",626,1233,31419
02,000,12,000,"FL","FLORIDA",577,1118,25223
02,000,08,000,"CO","COLORADO",571,1088,24717
02,000,57,000,"FR","Foreign",545,1205,25946
02,000,51,000,"VA","VIRGINIA",384,891,18699
02,000,13,000,"GA","GEORGIA",382,899,15532
02,000,16,000,"ID","IDAHO",357,718,19924
02,000,32,000,"NV","NEVADA",355,687,17980
02,000,37,000,"NC","NORTH CAROLINA",347,756,13660
02,000,15,000,"HI","HAWAII",287,607,13517
02,000,36,000,"NY","NEW YORK",280,538,9948
02,000,35,000,"NM","NEW MEXICO",276,577,14506
02,000,30,000,"MT","MONTANA",248,452,12465
02,000,29,000,"MO","MISSOURI",226,491,9830
02,000,47,000,"TN","TENNESSEE",225,473,10208
02,000,17,000,"IL","ILLINOIS",224,440,9644
02,000,26,000,"MI","MICHIGAN",218,411,7800
02,000,39,000,"OH","OHIO",213,407,7489
02,000,40,000,"OK","OKLAHOMA",213,477,10511
02,000,49,000,"UT","UTAH",212,446,10414
02,000,01,000,"AL","ALABAMA",209,528,9065
02,000,27,000,"MN","MINNESOTA",197,322,8035
02,000,42,000,"PA","PENNSYLVANIA",195,336,7943
02,000,45,000,"SC","SOUTH CAROLINA",193,475,7737
02,000,22,000,"LA","LOUISIANA",179,404,8706
02,000,20,000,"KS","KANSAS",167,449,7258
02,000,55,000,"WI","WISCONSIN",161,285,5975
02,000,21,000,"KY","KENTUCKY",138,333,5657
02,000,24,000,"MD","MARYLAND",131,296,6452
02,000,05,000,"AR","ARKANSAS",129,278,5993
02,000,18,000,"IN","INDIANA",114,226,4141
02,000,38,000,"ND","NORTH DAKOTA",109,222,5634
02,000,46,000,"SD","SOUTH DAKOTA",107,199,5704
02,000,25,000,"MA","MASSACHUSETTS",102,173,3120
02,000,56,000,"WY","WYOMING",102,195,5971
02,000,34,000,"NJ","NEW JERSEY",93,187,3550
02,000,31,000,"NE","NEBRASKA",84,191,4048
02,000,28,000,"MS","MISSISSIPPI",80,178,3256
02,000,19,000,"IA","IOWA",75,133,2601
02,000,23,000,"ME","MAINE",74,137,2756
02,000,33,000,"NH","NEW HAMPSHIRE",44,72,1913
02,000,09,000,"CT","CONNECTICUT",42,65,1631
02,000,11,000,"DC","DISTRICT OF COLUMBIA",42,58,3026
02,000,54,000,"WV","WEST VIRGINIA",38,84,1839
02,000,10,000,"DE","DELAWARE",35,84,1321
02,000,50,000,"VT","VERMONT",32,52,1176
02,000,44,000,"RI","RHODE ISLAND",17,30,754
04,000,96,000,"AZ","AZ Total Mig - US & For",77357,151392,3055878
04,000,97,000,"AZ","AZ Total Mig - US",75362,147538,2979241
04,000,98,000,"AZ","AZ Total Mig - Foreign",1995,3854,76637
04,000,04,000,"AZ","AZ Non-Migrants",2003461,4508213,104078548
04,000,06,000,"CA","CALIFORNIA",14886,29041,584668
04,000,48,000,"TX","TEXAS",6965,15131,292854
04,000,08,000,"CO","COLORADO",4075,7794,166678
04,000,35,000,"NM","NEW MEXICO",3584,8186,112592
04,000,53,000,"WA","WASHINGTON",3555,6853,140468
04,000,12,000,"FL","FLORIDA",2961,5255,120448
04,000,32,000,"NV","NEVADA",2635,5268,110655
04,000,17,000,"IL","ILLINOIS",2364,4172,87857
04,000,49,000,"UT","UTAH",2236,5313,84994
04,000,41,000,"OR","OREGON",2066,3717,76072
04,000,36,000,"NY","NEW YORK",2055,3413,75104
04,000,57,000,"FR","Foreign",1995,3854,76637
04,000,26,000,"MI","MICHIGAN",1726,3068,59582
04,000,51,000,"VA","VIRGINIA",1526,3007,85072
04,000,39,000,"OH","OHIO",1440,2551,53589
04,000,37,000,"NC","NORTH CAROLINA",1409,2911,60514
04,000,42,000,"PA","PENNSYLVANIA",1333,2335,51943
04,000,27,000,"MN","MINNESOTA",1243,2178,55669
04,000,13,000,"GA","GEORGIA",1183,2421,49858
04,000,29,000,"MO","MISSOURI",1168,2240,45392
04,000,55,000,"WI","WISCONSIN",1103,1954,42967
04,000,40,000,"OK","OKLAHOMA",1063,2212,36272
04,000,18,000,"IN","INDIANA",980,1933,35339
04,000,47,000,"TN","TENNESSEE",955,1944,37227
04,000,16,000,"ID","IDAHO",892,2017,31674
04,000,20,000,"KS","KANSAS",891,1860,31626
04,000,19,000,"IA","IOWA",815,1559,28248
04,000,24,000,"MD","MARYLAND",783,1437,40931
04,000,25,000,"MA","MASSACHUSETTS",778,1269,34117
04,000,34,000,"NJ","NEW JERSEY",658,1162,31224
04,000,15,000,"HI","HAWAII",640,1256,24146
04,000,31,000,"NE","NEBRASKA",629,1225,21210
04,000,30,000,"MT","MONTANA",577,1076,21178
04,000,22,000,"LA","LOUISIANA",573,1093,18636
04,000,05,000,"AR","ARKANSAS",561,1208,21185
04,000,45,000,"SC","SOUTH CAROLINA",545,1078,22739
04,000,02,000,"AK","ALASKA",520,965,20051
04,000,56,000,"WY","WYOMING",516,1057,21055
04,000,21,000,"KY","KENTUCKY",511,1049,19339
04,000,01,000,"AL","ALABAMA",465,1005,22913
04,000,46,000,"SD","SOUTH DAKOTA",427,776,17828
04,000,09,000,"CT","CONNECTICUT",378,592,16573
04,000,38,000,"ND","NORTH DAKOTA",307,545,11187
04,000,28,000,"MS","MISSISSIPPI",263,536,8686
04,000,33,000,"NH","NEW HAMPSHIRE",222,383,9670
04,000,11,000,"DC","DISTRICT OF COLUMBIA",202,267,11032
04,000,23,000,"ME","MAINE",191,327,6676
04,000,54,000,"WV","WEST VIRGINIA",157,313,5892
04,000,10,000,"DE","DELAWARE",120,227,5545
04,000,44,000,"RI","RHODE ISLAND",118,189,5908
04,000,50,000,"VT","VERMONT",112,170,4159
05,000,96,000,"AR","AR Total Mig - US & For",27202,54871,1068378
05,000,97,000,"AR","AR Total Mig - US",26682,53867,1048497
05,000,98,000,"AR","AR Total Mig - Foreign",520,1004,19881
05,000,05,000,"AR","AR Non-Migrants",954967,2135030,44111763
05,000,48,000,"TX","TEXAS",5514,11317,208297
05,000,40,000,"OK","OKLAHOMA",2597,5526,80411
05,000,29,000,"MO","MISSOURI",2497,5103,72218
05,000,47,000,"TN","TENNESSEE",1614,3162,58314
05,000,22,000,"LA","LOUISIANA",1327,2714,46105
05,000,12,000,"FL","FLORIDA",1288,2381,94865
05,000,06,000,"CA","CALIFORNIA",1261,2414,42595
05,000,28,000,"MS","MISSISSIPPI",831,1706,30338
05,000,17,000,"IL","ILLINOIS",749,1489,31995
05,000,13,000,"GA","GEORGIA",656,1335,28397
05,000,20,000,"KS","KANSAS",569,1187,21922
05,000,37,000,"NC","NORTH CAROLINA",554,1156,24838
05,000,57,000,"FR","Foreign",520,1004,19881
05,000,08,000,"CO","COLORADO",496,968,20558
05,000,04,000,"AZ","ARIZONA",464,896,15455
05,000,01,000,"AL","ALABAMA",431,926,18390
05,000,51,000,"VA","VIRGINIA",429,868,23398
05,000,26,000,"MI","MICHIGAN",366,738,11546
05,000,36,000,"NY","NEW YORK",366,624,15622
05,000,53,000,"WA","WASHINGTON",355,732,18377
05,000,18,000,"IN","INDIANA",330,665,11626
05,000,39,000,"OH","OHIO",328,688,20194
05,000,21,000,"KY","KENTUCKY",304,616,11070
05,000,55,000,"WI","WISCONSIN",261,504,9231
05,000,19,000,"IA","IOWA",244,518,8562
05,000,42,000,"PA","PENNSYLVANIA",244,474,15837
05,000,45,000,"SC","SOUTH CAROLINA",237,529,12167
05,000,32,000,"NV","NEVADA",231,419,7363
05,000,27,000,"MN","MINNESOTA",226,476,11215
05,000,35,000,"NM","NEW MEXICO",207,421,7811
05,000,31,000,"NE","NEBRASKA",182,394,5675
05,000,24,000,"MD","MARYLAND",173,310,6880
05,000,34,000,"NJ","NEW JERSEY",155,322,14125
05,000,41,000,"OR","OREGON",155,293,4331
05,000,02,000,"AK","ALASKA",119,243,4247
05,000,49,000,"UT","UTAH",109,223,4842
05,000,15,000,"HI","HAWAII",100,176,2744
05,000,25,000,"MA","MASSACHUSETTS",97,164,3534
05,000,56,000,"WY","WYOMING",80,164,3056
05,000,54,000,"WV","WEST VIRGINIA",74,135,2338
05,000,30,000,"MT","MONTANA",70,153,2501
05,000,16,000,"ID","IDAHO",66,150,1600
05,000,46,000,"SD","SOUTH DAKOTA",63,134,2990
05,000,38,000,"ND","NORTH DAKOTA",54,110,1661
05,000,11,000,"DC","DISTRICT OF COLUMBIA",51,74,2594
05,000,09,000,"CT","CONNECTICUT",45,75,2390
05,000,23,000,"ME","MAINE",36,57,994
05,000,10,000,"DE","DELAWARE",21,36,836
