State_Code_Dest,County_Code_Dest,State_Code_Origin,County_Code_Origin,State_Abbrv,State_Name,Return_Num,Exmpt_Num,Aggr_AGI
00,000,96,000,US,US Total Mig - US & For,3057109,5687411,145848622
00,000,97,000,US,US Total Mig - US,2973726,5514902,141491300
00,000,98,000,US,US Total Mig - Foreign,83383,172509,4357322
01,000,96,000,AL,AL Total Mig - US & For,43890,92180,1854552
01,000,97,000,AL,AL Total Mig - US,42880,89794,1805235
01,000,98,000,AL,AL Total Mig - Foreign,1010,2386,49317
01,000,01,000,AL,AL Non-Migrants,1591968,3593492,80792924
01,000,13,000,GA,GEORGIA,8101,17114,284400
01,000,12,000,FL,FLORIDA,6115,12189,234780
01,000,47,000,TN,TENNESSEE,3259,6698,132830
01,000,48,000,TX,TEXAS,2718,6016,131406
01,000,28,000,MS,MISSISSIPPI,2653,5498,109556
01,000,06,000,CA,CALIFORNIA,1541,3192,64665
01,000,37,000,NC,NORTH CAROLINA,1517,3256,69170
01,000,51,000,VA,VIRGINIA,1357,3010,90550
01,000,22,000,LA,LOUISIANA,1167,2480,52421
01,000,36,000,NY,NEW YORK,1013,1924,44347
01,000,57,000,FR,Foreign,1010,2386,49317
01,000,39,000,OH,OHIO,1008,2069,46702
01,000,26,000,MI,MICHIGAN,999,2051,40917
01,000,17,000,IL,ILLINOIS,928,1846,39830
01,000,45,000,SC,SOUTH CAROLINA,881,1881,23880
01,000,21,000,KY,KENTUCKY,846,1855,36271
01,000,18,000,IN,INDIANA,690,1446,29544
01,000,29,000,MO,MISSOURI,613,1265,28323
01,000,05,000,AR,ARKANSAS,553,1096,23216
01,000,04,000,AZ,ARIZONA,534,1248,25581
01,000,42,000,PA,PENNSYLVANIA,534,1066,26497
01,000,08,000,CO,COLORADO,524,1125,25535
01,000,53,000,WA,WASHINGTON,488,1092,20516
01,000,24,000,MD,MARYLAND,457,953,23827
01,000,40,000,OK,OKLAHOMA,389,878,15709
01,000,20,000,KS,KANSAS,357,794,13954
01,000,34,000,NJ,NEW JERSEY,331,682,16332
01,000,55,000,WI,WISCONSIN,278,562,12428
01,000,15,000,HI,HAWAII,250,602,10234
01,000,25,000,MA,MASSACHUSETTS,247,442,13891
01,000,32,000,NV,NEVADA,239,503,11341
01,000,02,000,AK,ALASKA,231,578,12028
01,000,27,000,MN,MINNESOTA,207,405,8717
01,000,19,000,IA,IOWA,198,420,9652
01,000,49,000,UT,UTAH,182,447,7815
01,000,09,000,CT,CONNECTICUT,179,362,8938
01,000,35,000,NM,NEW MEXICO,175,399,9278
01,000,41,000,OR,OREGON,160,312,5338
01,000,31,000,NE,NEBRASKA,142,313,6959
01,000,54,000,WV,WEST VIRGINIA,134,286,5630
01,000,16,000,ID,IDAHO,93,237,4242
01,000,33,000,NH,NEW HAMPSHIRE,73,146,2980
01,000,56,000,WY,WYOMING,72,156,3221
01,000,23,000,ME,MAINE,71,139,3145
01,000,46,000,SD,SOUTH DAKOTA,64,146,4685
01,000,44,000,RI,RHODE ISLAND,60,120,2599
01,000,11,000,DC,DISTRICT OF COLUMBIA,58,79,3484
01,000,38,000,ND,NORTH DAKOTA,58,111,2230
01,000,10,000,DE,DELAWARE,57,150,2640
01,000,30,000,MT,MONTANA,55,109,2210
01,000,50,000,VT,VERMONT,24,46,792
02,000,96,000,AK,AK Total Mig - US & For,16694,32136,676203
02,000,97,000,AK,AK Total Mig - US,16156,30965,654011
02,000,98,000,AK,AK Total Mig - Foreign,538,1171,22192
02,000,02,000,AK,AK Non-Migrants,251110,528988,16544184
02,000,53,000,WA,WASHINGTON,1550,2817,63378
02,000,06,000,CA,CALIFORNIA,1527,2817,55348
02,000,48,000,TX,TEXAS,1240,2636,63410
02,000,12,000,FL,FLORIDA,1023,1705,35311
02,000,41,000,OR,OREGON,810,1464,32738
02,000,08,000,CO,COLORADO,567,1033,23934
02,000,04,000,AZ,ARIZONA,542,1035,23086
02,000,57,000,FR,Foreign,538,1171,22192
02,000,13,000,GA,GEORGIA,535,1164,20297
02,000,37,000,NC,NORTH CAROLINA,471,1016,17805
02,000,51,000,VA,VIRGINIA,406,940,19598
02,000,36,000,NY,NEW YORK,366,613,12255
02,000,16,000,ID,IDAHO,352,679,13706
02,000,26,000,MI,MICHIGAN,342,603,13947
02,000,17,000,IL,ILLINOIS,328,557,12581
02,000,27,000,MN,MINNESOTA,327,530,12854
02,000,15,000,HI,HAWAII,316,625,9708
02,000,32,000,NV,NEVADA,296,583,11933
02,000,30,000,MT,MONTANA,293,523,12404
02,000,49,000,UT,UTAH,293,660,11919
02,000,42,000,PA,PENNSYLVANIA,274,437,10675
02,000,29,000,MO,MISSOURI,273,603,10335
02,000,39,000,OH,OHIO,269,481,10588
02,000,40,000,OK,OKLAHOMA,269,604,12232
02,000,55,000,WI,WISCONSIN,258,424,9809
02,000,01,000,AL,ALABAMA,249,620,11909
02,000,47,000,TN,TENNESSEE,225,468,8489
02,000,45,000,SC,SOUTH CAROLINA,213,442,8210
02,000,35,000,NM,NEW MEXICO,200,374,9464
02,000,18,000,IN,INDIANA,191,329,6642
02,000,22,000,LA,LOUISIANA,180,408,8730
02,000,20,000,KS,KANSAS,177,424,7305
02,000,21,000,KY,KENTUCKY,172,424,7860
02,000,24,000,MD,MARYLAND,166,364,7414
02,000,25,000,MA,MASSACHUSETTS,140,220,5691
02,000,34,000,NJ,NEW JERSEY,137,212,4933
02,000,56,000,WY,WYOMING,128,227,6032
02,000,31,000,NE,NEBRASKA,124,252,4672
02,000,05,000,AR,ARKANSAS,123,243,4484
02,000,19,000,IA,IOWA,108,181,3779
02,000,38,000,ND,NORTH DAKOTA,96,186,4158
02,000,46,000,SD,SOUTH DAKOTA,96,171,3498
02,000,09,000,CT,CONNECTICUT,94,133,3201
02,000,28,000,MS,MISSISSIPPI,94,186,3702
02,000,23,000,ME,MAINE,87,162,4025
02,000,50,000,VT,VERMONT,51,77,1966
02,000,54,000,WV,WEST VIRGINIA,51,99,2164
02,000,33,000,NH,NEW HAMPSHIRE,49,77,1670
02,000,10,000,DE,DELAWARE,30,64,1505
02,000,11,000,DC,DISTRICT OF COLUMBIA,30,39,1878
02,000,44,000,RI,RHODE ISLAND,18,34,779
04,000,96,000,AZ,AZ Total Mig - US & For,85145,161552,4129920
04,000,97,000,AZ,AZ Total Mig - US,83528,158038,4045406
04,000,98,000,AZ,AZ Total Mig - Foreign,1617,3514,84514
04,000,04,000,AZ,AZ Non-Migrants,2037603,4610282,108742635
04,000,06,000,CA,CALIFORNIA,15921,30618,835477
04,000,48,000,TX,TEXAS,5445,11024,250864
04,000,53,000,WA,WASHINGTON,4198,7905,191359
04,000,08,000,CO,COLORADO,4034,7769,196719
04,000,17,000,IL,ILLINOIS,3970,7119,214634
04,000,35,000,NM,NEW MEXICO,3388,7094,119725
04,000,32,000,NV,NEVADA,3059,6084,134332
04,000,12,000,FL,FLORIDA,2941,5215,135519
04,000,26,000,MI,MICHIGAN,2649,4629,118032
04,000,36,000,NY,NEW YORK,2458,4168,133722
04,000,49,000,UT,UTAH,2319,5433,88278
