00 000 96 000 US US Total Mig - US & For            3075076    5706100   146817090
00 000 97 000 US US Total Mig - US                  2973726    5514902   141491300
00 000 98 000 US US Total Mig - Foreign              101350     191198     5325790
01 000 96 000 AL AL Total Mig - US & For              44602      90322     1832368
01 000 97 000 AL AL Total Mig - US                    43563      88001     1787617
01 000 98 000 AL AL Total Mig - Foreign                1039       2321       44751
01 000 01 000 AL AL Non-Migrants                    1591968    3593492    80792924
01 000 13 000 GA GEORGIA                               8309      16164      278141
01 000 12 000 FL FLORIDA                               6569      12064      247705
01 000 47 000 TN TENNESSEE                             3572       7073      148378
01 000 48 000 TX TEXAS                                 3438       7745      157219
01 000 28 000 MS MISSISSIPPI                           2492       5292       93731
01 000 37 000 NC NORTH CAROLINA                        1671       3557       73360
01 000 06 000 CA CALIFORNIA                            1427       2654       57938
01 000 51 000 VA VIRGINIA                              1355       3028       72899
01 000 22 000 LA LOUISIANA                             1292       2614       54471
01 000 57 000 FR Foreign                               1039       2321       44751
01 000 45 000 SC SOUTH CAROLINA                         938       1956       45683
01 000 36 000 NY NEW YORK                               889       1720       30771
01 000 39 000 OH OHIO                                   843       1746       33094
01 000 26 000 MI MICHIGAN                               833       1701       28560
01 000 17 000 IL ILLINOIS                               767       1501       32344
01 000 21 000 KY KENTUCKY                               742       1640       31331
01 000 08 000 CO COLORADO                               703       1509       33763
01 000 18 000 IN INDIANA                                583       1169       21910
01 000 53 000 WA WASHINGTON                             555       1184       24098
01 000 29 000 MO MISSOURI                               537       1131       24490
01 000 42 000 PA PENNSYLVANIA                           493        979       23050
01 000 24 000 MD MARYLAND                               461        885       21603
01 000 05 000 AR ARKANSAS                               455        972       18039
01 000 04 000 AZ ARIZONA                                454        921       18241
01 000 40 000 OK OKLAHOMA                               414        882       15871
01 000 20 000 KS KANSAS                                 327        766       14172
01 000 34 000 NJ NEW JERSEY                             281        558       11521
01 000 15 000 HI HAWAII                                 277        674       11902
01 000 02 000 AK ALASKA                                 249        620       11909
01 000 25 000 MA MASSACHUSETTS                          243        433       12300
01 000 55 000 WI WISCONSIN                              241        481        9846
01 000 32 000 NV NEVADA                                 214        418        9517
01 000 35 000 NM NEW MEXICO                             179        397        9178
01 000 27 000 MN MINNESOTA                              165        365        7736
01 000 19 000 IA IOWA                                   163        326        6954
01 000 49 000 UT UTAH                                   157        392        7089
01 000 41 000 OR OREGON                                 137        267        4335
01 000 31 000 NE NEBRASKA                               134        315        7112
01 000 09 000 CT CONNECTICUT                            127        231        6970
01 000 54 000 WV WEST VIRGINIA                          121        253        4632
01 000 11 000 DC DISTRICT OF COLUMBIA                   113        152        5793
01 000 56 000 WY WYOMING                                 97        185       37888
01 000 30 000 MT MONTANA                                 93        194        3677
01 000 23 000 ME MAINE                                   82        163        3431
01 000 16 000 ID IDAHO                                   76        167        3127
01 000 46 000 SD SOUTH DAKOTA                            73        121        3049
01 000 33 000 NH NEW HAMPSHIRE                           63        100        1979
01 000 38 000 ND NORTH DAKOTA                            56        126        2649
01 000 10 000 DE DELAWARE                                45         97        1834
01 000 50 000 VT VERMONT                                 34         73        1479
01 000 44 000 RI RHODE ISLAND                            24         40         847
02 000 96 000 AK AK Total Mig - US & For              16570      33865      769271
02 000 97 000 AK AK Total Mig - US                    16007      32656      740963
02 000 98 000 AK AK Total Mig - Foreign                 563       1209       28308
02 000 02 000 AK AK Non-Migrants                     251110     528988    16544184
02 000 53 000 WA WASHINGTON                            1835       3386       80624
02 000 48 000 TX TEXAS                                 1436       3446       90461
02 000 06 000 CA CALIFORNIA                            1315       2428       50635
02 000 12 000 FL FLORIDA                                883       1665       35860
02 000 41 000 OR OREGON                                 778       1331       35309
02 000 04 000 AZ ARIZONA                                689       1356       35689
02 000 08 000 CO COLORADO                               615       1268       28652
02 000 57 000 FR Foreign                                563       1209       28308
02 000 37 000 NC NORTH CAROLINA                         508       1128       21340
02 000 13 000 GA GEORGIA                                472       1141       19390
02 000 51 000 VA VIRGINIA                               438       1000       23654
02 000 16 000 ID IDAHO                                  369        739       18574
02 000 32 000 NV NEVADA                                 368        731       17227
02 000 15 000 HI HAWAII                                 357        759       15082
02 000 36 000 NY NEW YORK                               328        599       11659
02 000 30 000 MT MONTANA                                304        546       15173
02 000 29 000 MO MISSOURI                               288        678       13398
02 000 26 000 MI MICHIGAN                               286        524       11967
02 000 40 000 OK OKLAHOMA                               278        676       14839
02 000 35 000 NM NEW MEXICO                             276        594       15002
02 000 27 000 MN MINNESOTA                              267        448       10097
02 000 47 000 TN TENNESSEE                              267        616       11651
02 000 17 000 IL ILLINOIS                               255        465       10385
02 000 49 000 UT UTAH                                   237        514       11016
02 000 01 000 AL ALABAMA                                231        578       12028
02 000 39 000 OH OHIO                                   221        425        9477
02 000 42 000 PA PENNSYLVANIA                           201        360        9452
02 000 45 000 SC SOUTH CAROLINA                         191        434        7866
02 000 22 000 LA LOUISIANA                              188        437        8050
02 000 55 000 WI WISCONSIN                              180        298        6720
02 000 24 000 MD MARYLAND                               172        385        9338
02 000 21 000 KY KENTUCKY                               170        421        7031
02 000 20 000 KS KANSAS                                 165        431        8792
02 000 38 000 ND NORTH DAKOTA                           138        293        7005
02 000 05 000 AR ARKANSAS                               127        269        5582
02 000 18 000 IN INDIANA                                121        238        5014
02 000 56 000 WY WYOMING                                119        228        5949
02 000 25 000 MA MASSACHUSETTS                          102        151        4273
02 000 28 000 MS MISSISSIPPI                            102        230        4643
02 000 34 000 NJ NEW JERSEY                              99        206        3852
02 000 23 000 ME MAINE                                   94        178        4487
02 000 46 000 SD SOUTH DAKOTA                            87        191        4429
02 000 19 000 IA IOWA                                    78        150        2783
02 000 31 000 NE NEBRASKA                                78        177        3011
02 000 54 000 WV WEST VIRGINIA                           61        128        2904
02 000 09 000 CT CONNECTICUT                             48         75        1902
02 000 33 000 NH NEW HAMPSHIRE                           48         74        2181
02 000 11 000 DC DISTRICT OF COLUMBIA                    42         57        1866
02 000 50 000 VT VERMONT                                 42         85        2238
02 000 10 000 DE DELAWARE                                30         70        1412
02 000 44 000 RI RHODE ISLAND                            23         49         991
04 000 96 000 AZ AZ Total Mig - US & For              82278     166064     3470318
04 000 97 000 AZ AZ Total Mig - US                    80278     162164     3376771
04 000 98 000 AZ AZ Total Mig - Foreign                2000       3900       93546
04 000 04 000 AZ AZ Non-Migrants                    2037603    4610282   108742635
04 000 06 000 CA CALIFORNIA                           15919      31809      651760
04 000 48 000 TX TEXAS                                 7244      15863      329582
04 000 08 000 CO COLORADO                              4196       8472      184694
04 000 53 000 WA WASHINGTON                            3911       7926      165256
04 000 35 000 NM NEW MEXICO                            3789       9499      120522
04 000 12 000 FL FLORIDA                               3710       6162      156391
04 000 32 000 NV NEVADA                                3097       6481      123546
04 000 17 000 IL ILLINOIS                              2593       4940      112705
04 000 41 000 OR OREGON                                2362       4396       91095
04 000 49 000 UT UTAH                                  2245       5503       91048
04 000 36 000 NY NEW YORK                              2142       3522       82329
04 000 57 000 FR Foreign                               2000       3900       93546
04 000 26 000 MI MICHIGAN                              1859       3332       68933
04 000 39 000 OH OHIO                                  1612       2991       67023
04 000 37 000 NC NORTH CAROLINA                        1534       3221       69140
04 000 51 000 VA VIRGINIA                              1525       3178       84774
04 000 27 000 MN MINNESOTA                             1411       2556       69656
04 000 13 000 GA GEORGIA                               1410       2916       62324
04 000 42 000 PA PENNSYLVANIA                          1382       2519       60767
04 000 29 000 MO MISSOURI                              1209       2364       44421
04 000 55 000 WI WISCONSIN                             1174       2213       47611
04 000 40 000 OK OKLAHOMA                              1057       2405       36953
04 000 18 000 IN INDIANA                               1014       2011       44997
04 000 16 000 ID IDAHO                                  957       2226       38654
04 000 47 000 TN TENNESSEE                              894       1963       37717
04 000 20 000 KS KANSAS                                 838       1851       33110
04 000 25 000 MA MASSACHUSETTS                          830       1371       41709
04 000 19 000 IA IOWA                                   828       1610       31428
04 000 24 000 MD MARYLAND                               775       1472       43304
04 000 15 000 HI HAWAII                                 711       1367       33319
04 000 34 000 NJ NEW JERSEY                             707       1326       39787
04 000 45 000 SC SOUTH CAROLINA                         603       1238       29877
04 000 31 000 NE NEBRASKA                               602       1247       24599
04 000 30 000 MT MONTANA                                571       1135       21083
04 000 05 000 AR ARKANSAS                               554       1208       21354
04 000 02 000 AK ALASKA                                 542       1035       23086
04 000 01 000 AL ALABAMA                                534       1248       25581
04 000 22 000 LA LOUISIANA                              505       1046       19290
04 000 21 000 KY KENTUCKY                               480       1045       18937
04 000 56 000 WY WYOMING                                469        979       19066
04 000 09 000 CT CONNECTICUT                            380        644       19535
04 000 46 000 SD SOUTH DAKOTA                           375        704       15829
04 000 38 000 ND NORTH DAKOTA                           314        575       11951
04 000 28 000 MS MISSISSIPPI                            262        583        8961
04 000 23 000 ME MAINE                                  224        392        8073
04 000 33 000 NH NEW HAMPSHIRE                          208        378       10723
04 000 11 000 DC DISTRICT OF COLUMBIA                   201        270       10481
04 000 54 000 WV WEST VIRGINIA                          159        315        6638
04 000 44 000 RI RHODE ISLAND                           137        236        6855
04 000 50 000 VT VERMONT                                126        241        5942
04 000 10 000 DE DELAWARE                                97        180        4356
05 000 96 000 AR AR Total Mig - US & For              28811      57956     1152287
05 000 97 000 AR AR Total Mig - US                    28352      57111     1134507
05 000 98 000 AR AR Total Mig - Foreign                 459        845       17779
05 000 05 000 AR AR Non-Migrants                     951286    2133951    45180047
05 000 48 000 TX TEXAS                                 5654      11666      221410
05 000 40 000 OK OKLAHOMA                              2597       5645       83806
05 000 29 000 MO MISSOURI                              2400       4894       76157
05 000 12 000 FL FLORIDA                               1759       2986       74470
05 000 47 000 TN TENNESSEE                             1719       3318       65162
05 000 06 000 CA CALIFORNIA                            1374       2701       53857
05 000 22 000 LA LOUISIANA                             1220       2596       52256
05 000 28 000 MS MISSISSIPPI                            882       1830       29691
05 000 13 000 GA GEORGIA                                832       1678       35948
05 000 17 000 IL ILLINOIS                               812       1589       31549
05 000 37 000 NC NORTH CAROLINA                         612       1238       25785
05 000 08 000 CO COLORADO                               564       1077       22261
05 000 01 000 AL ALABAMA                                553       1096       23216
05 000 20 000 KS KANSAS                                 533       1144       22660
05 000 04 000 AZ ARIZONA                                479        952       19107
05 000 57 000 FR Foreign                                459        845       17779
05 000 51 000 VA VIRGINIA                               445        935       20918
05 000 53 000 WA WASHINGTON                             435        877       16387
05 000 39 000 OH OHIO                                   414        829       20006
05 000 26 000 MI MICHIGAN                               405        798       15294
05 000 36 000 NY NEW YORK                               403        731       16471
05 000 42 000 PA PENNSYLVANIA                           327        629       18146
05 000 18 000 IN INDIANA                                325        667       10639
05 000 21 000 KY KENTUCKY                               288        596       10983
05 000 55 000 WI WISCONSIN                              276        544       11201
05 000 19 000 IA IOWA                                   248        509        8218
05 000 45 000 SC SOUTH CAROLINA                         240        490       15175
05 000 32 000 NV NEVADA                                 235        427       22992
05 000 27 000 MN MINNESOTA                              234        488       18712
05 000 35 000 NM NEW MEXICO                             213        479        7197
05 000 41 000 OR OREGON                                 188        352        7223
05 000 31 000 NE NEBRASKA                               186        391        6903
05 000 24 000 MD MARYLAND                               172        339        9083
05 000 34 000 NJ NEW JERSEY                             158        315       12602
05 000 49 000 UT UTAH                                   136        314        5929
05 000 25 000 MA MASSACHUSETTS                          132        226        6131
05 000 02 000 AK ALASKA                                 123        243        4484
05 000 15 000 HI HAWAII                                  96        220        3091
05 000 56 000 WY WYOMING                                 80        151        3962
05 000 16 000 ID IDAHO                                   75        173        3146
