"origin_fips","dest_fips","num_migrants","origin_lat","origin_lon","dest_lat","dest_lon","distance"
13,1,20102,33.75,-84.39,33.52,-86.81,140.406318027275
12,1,14217,30.33,-81.66,33.52,-86.81,373.933086744326
47,1,7909,36.15,-86.77,33.52,-86.81,181.309208643781
48,1,6870,29.73,-95.39,33.52,-86.81,568.950674567609
28,1,6370,32.31,-90.2,33.52,-86.81,213.94414460924
6,1,3458,34.05,-118.24,33.52,-86.81,1801.9814796342
37,1,3679,35.21,-80.84,33.52,-86.81,360.496961818028
51,1,3372,36.81,-76.12,33.52,-86.81,645.795828847297
22,1,2943,29.98,-90.03,33.52,-86.81,308.869144115519
36,1,2267,40.67,-73.98,33.52,-86.81,861.901651372482
39,1,2156,39.96,-82.99,33.52,-86.81,491.947192651864
17,1,2165,41.88,-87.63,33.52,-86.81,578.302189337886
26,1,1993,42.36,-83.08,33.52,-86.81,642.645996503772
45,1,2393,32.79,-79.94,33.52,-86.81,401.323999596243
21,1,2154,38.21,-85.65,33.52,-86.81,329.832212598417
18,1,1552,39.77,-86.15,33.52,-86.81,432.518343658294
29,1,1471,39.03,-94.56,33.52,-86.81,575.387785230866
42,1,1248,39.96,-75.15,33.52,-86.81,783.73162477462
8,1,1310,39.74,-104.99,33.52,-86.81,1095.02034006607
4,1,1203,33.45,-112.07,33.52,-86.81,1455.11359932862
5,1,1239,34.75,-92.29,33.52,-86.81,325.272652996714
53,1,1124,47.6,-122.33,33.52,-86.81,2081.66835224925
24,1,1097,39.31,-76.62,33.52,-86.81,693.44059268874
34,1,787,40.74,-74.18,33.52,-86.81,855.418521420992
40,1,908,35.52,-97.5,33.52,-86.81,624.93323943931
20,1,873,37.69,-97.33,33.52,-86.81,657.838960830043
55,1,691,43.04,-87.91,33.52,-86.81,659.329452339009
25,1,543,42.33,-71.08,33.52,-86.81,1049.68157107724
32,1,612,36.17,-115.19,33.52,-86.81,1617.37871214535
15,1,658,21.3,-157.86,33.52,-86.81,4365.06982758836
2,1,599,61.22,-149.9,33.52,-86.81,3341.0525437443
27,1,458,44.98,-93.27,33.52,-86.81,862.44142119129
54,1,442,38.35,-81.63,33.52,-86.81,441.709034098907
35,1,447,35.1,-106.66,33.52,-86.81,1138.65347929325
49,1,415,40.77,-111.89,33.52,-86.81,1465.80969143619
19,1,350,41.58,-93.61,33.52,-86.81,669.095511090467
9,1,317,41.18,-73.19,33.52,-86.81,915.443487208724
41,1,294,45.52,-122.67,33.52,-86.81,2065.45765392866
31,1,335,41.26,-96.02,33.52,-86.81,735.16313044024
56,1,223,41.13,-104.82,33.52,-86.81,1119.03586429123
33,1,143,42.99,-71.45,33.52,-86.81,1057.51361841715
11,1,127,38.89,-77.03,33.52,-86.81,659.494332391888
