"origin_fips","dest_fips","num_migrants","m_i","m_j"
13,1,17114,9711881,4785437
12,1,12189,18845537,4785437
47,1,6698,6355311,4785437
48,1,6016,25241971,4785437
28,1,5498,2970548,4785437
6,1,3192,37319502,4785437
37,1,3256,9574323,4785437
51,1,3010,8023699,4785437
22,1,2480,4544532,4785437
36,1,1924,19399878,4785437
39,1,2069,11539336,4785437
26,1,2051,9877510,4785437
17,1,1846,12840503,4785437
45,1,1881,4635649,4785437
21,1,1855,4348181,4785437
18,1,1446,6490432,4785437
29,1,1265,5995974,4785437
5,1,1096,2921964,4785437
4,1,1248,6407172,4785437
42,1,1066,12711160,4785437
8,1,1125,5047349,4785437
53,1,1092,6742830,4785437
24,1,953,5788645,4785437
40,1,878,3759944,4785437
20,1,794,2858190,4785437
34,1,682,8799446,4785437
55,1,562,5690475,4785437
15,1,602,1363963,4785437
25,1,442,6566307,4785437
32,1,503,2702405,4785437
2,1,578,713910,4785437
27,1,405,5310828,4785437
19,1,420,3050745,4785437
49,1,447,2775332,4785437
9,1,362,3579114,4785437
35,1,399,2064552,4785437
41,1,312,3837491,4785437
31,1,313,1829542,4785437
54,1,286,1854239,4785437
16,1,237,1570746,4785437
33,1,146,1316762,4785437
56,1,156,564487,4785437
23,1,139,1327629,4785437
46,1,146,816166,4785437
44,1,120,1053959,4785437
11,1,79,605226,4785437
38,1,111,674715,4785437
10,1,150,899593,4785437
30,1,109,990697,4785437
50,1,46,625879,4785437
53,2,2817,6742830,713910
6,2,2817,37319502,713910
48,2,2636,25241971,713910
12,2,1705,18845537,713910
41,2,1464,3837491,713910
8,2,1033,5047349,713910
4,2,1035,6407172,713910
13,2,1164,9711881,713910
37,2,1016,9574323,713910
51,2,940,8023699,713910
36,2,613,19399878,713910
16,2,679,1570746,713910
26,2,603,9877510,713910
17,2,557,12840503,713910
27,2,530,5310828,713910
15,2,625,1363963,713910
32,2,583,2702405,713910
30,2,523,990697,713910
49,2,660,2775332,713910
42,2,437,12711160,713910
29,2,603,5995974,713910
39,2,481,11539336,713910
40,2,604,3759944,713910
55,2,424,5690475,713910
1,2,620,4785437,713910
47,2,468,6355311,713910
45,2,442,4635649,713910
35,2,374,2064552,713910
18,2,329,6490432,713910
22,2,408,4544532,713910
20,2,424,2858190,713910
21,2,424,4348181,713910
24,2,364,5788645,713910
25,2,220,6566307,713910
34,2,212,8799446,713910
56,2,227,564487,713910
31,2,252,1829542,713910
5,2,243,2921964,713910
19,2,181,3050745,713910
38,2,186,674715,713910
46,2,171,816166,713910
9,2,133,3579114,713910
28,2,186,2970548,713910
23,2,162,1327629,713910
50,2,77,625879,713910
54,2,99,1854239,713910
33,2,77,1316762,713910
10,2,64,899593,713910
11,2,39,605226,713910
44,2,34,1053959,713910
6,4,30618,37319502,6407172
48,4,11024,25241971,6407172
53,4,7905,6742830,6407172
8,4,7769,5047349,6407172
17,4,7119,12840503,6407172
35,4,7094,2064552,6407172
32,4,6084,2702405,6407172
12,4,5215,18845537,6407172
26,4,4629,9877510,6407172
36,4,4168,19399878,6407172
49,4,5433,2775332,6407172
39,4,3931,11539336,6407172
41,4,3931,3837491,6407172
27,4,3150,5310828,6407172
42,4,3007,12711160,6407172
55,4,2908,5690475,6407172
29,4,2712,5995974,6407172
37,4,2845,9574323,6407172
18,4,2561,6490432,6407172
51,4,2554,8023699,6407172
13,4,2682,9711881,6407172
34,4,1902,8799446,6407172
19,4,1812,3050745,6407172
20,4,1876,2858190,6407172
16,4,2100,1570746,6407172
25,4,1596,6566307,6407172
40,4,1805,3759944,6407172
47,4,1582,6355311,6407172
31,4,1474,1829542,6407172
24,4,1340,5788645,6407172
15,4,1398,1363963,6407172
2,4,1356,713910,6407172
30,4,1180,990697,6407172
46,4,1014,816166,6407172
21,4,1113,4348181,6407172
56,4,1019,564487,6407172
9,4,932,3579114,6407172
45,4,1060,4635649,6407172
5,4,952,2921964,6407172
1,4,921,4785437,6407172
22,4,879,4544532,6407172
28,4,652,2970548,6407172
38,4,579,674715,6407172
33,4,485,1316762,6407172
23,4,414,1327629,6407172
44,4,282,1053959,6407172
11,4,228,605226,6407172
54,4,247,1854239,6407172
10,4,257,899593,6407172
50,4,244,625879,6407172
48,5,10782,25241971,2921964
29,5,6646,5995974,2921964
40,5,5250,3759944,2921964
47,5,3519,6355311,2921964
6,5,3531,37319502,2921964
12,5,2621,18845537,2921964
22,5,2631,4544532,2921964
17,5,2295,12840503,2921964
28,5,2066,2970548,2921964
13,5,1522,9711881,2921964
20,5,1536,2858190,2921964
37,5,1193,9574323,2921964
4,5,1208,6407172,2921964
26,5,1099,9877510,2921964
8,5,975,5047349,2921964
51,5,997,8023699,2921964
1,5,972,4785437,2921964
39,5,873,11539336,2921964
18,5,826,6490432,2921964
36,5,772,19399878,2921964
55,5,744,5690475,2921964
53,5,714,6742830,2921964
19,5,612,3050745,2921964
21,5,652,4348181,2921964
42,5,576,12711160,2921964
32,5,564,2702405,2921964
27,5,538,5310828,2921964
45,5,557,4635649,2921964
31,5,424,1829542,2921964
34,5,405,8799446,2921964
35,5,426,2064552,2921964
24,5,343,5788645,2921964
41,5,362,3837491,2921964
49,5,414,2775332,2921964
2,5,269,713910,2921964
25,5,204,6566307,2921964
15,5,230,1363963,2921964
56,5,251,564487,2921964
16,5,247,1570746,2921964
9,5,137,3579114,2921964
46,5,109,816166,2921964
30,5,130,990697,2921964
38,5,124,674715,2921964
54,5,99,1854239,2921964
23,5,72,1327629,2921964
33,5,56,1316762,2921964
10,5,62,899593,2921964
11,5,39,605226,2921964
44,5,53,1053959,2921964
