"origin_fips","dest_fips","num_migrants"
13,1,12269
12,1,8446
48,1,7041
47,1,5304
28,1,4562
6,1,2274
37,1,2158
22,1,1671
51,1,1624
36,1,1518
17,1,1443
39,1,1430
45,1,1220
26,1,1125
21,1,1213
8,1,932
29,1,901
18,1,895
42,1,850
53,1,742
24,1,647
5,1,703
40,1,615
4,1,575
34,1,489
20,1,549
55,1,385
15,1,440
25,1,315
32,1,299
35,1,310
27,1,252
9,1,248
54,1,235
19,1,205
2,1,223
49,1,201
41,1,179
31,1,149
16,1,142
30,1,116
38,1,113
11,1,92
56,1,100
23,1,86
46,1,129
33,1,68
10,1,61
44,1,70
50,1,33
6,2,2249
53,2,2020
48,2,1911
12,2,1044
41,2,945
4,2,871
8,2,689
13,2,802
37,2,767
36,2,555
15,2,668
51,2,557
32,2,489
16,2,465
26,2,397
42,2,367
30,2,348
17,2,329
39,2,352
40,2,378
29,2,372
27,2,297
49,2,401
47,2,370
55,2,259
22,2,309
45,2,252
18,2,209
1,2,278
35,2,254
24,2,196
25,2,155
21,2,246
20,2,197
56,2,146
34,2,131
5,2,163
19,2,153
28,2,149
31,2,133
38,2,94
46,2,93
9,2,76
23,2,71
33,2,66
10,2,57
50,2,40
54,2,36
11,2,25
44,2,21
6,4,29184
48,4,11103
17,4,6253
53,4,5949
8,4,5903
35,4,6669
12,4,4255
32,4,4544
36,4,3601
26,4,3395
49,4,4052
41,4,3082
27,4,3055
39,4,2787
55,4,2434
42,4,2219
29,4,2055
18,4,2053
37,4,2098
51,4,1964
13,4,1975
34,4,1500
47,4,1468
16,4,1609
19,4,1379
40,4,1291
25,4,1095
15,4,1309
20,4,1276
2,4,1140
24,4,1041
31,4,1064
30,4,980
46,4,918
38,4,851
56,4,812
9,4,794
45,4,799
21,4,796
5,4,749
22,4,704
1,4,643
28,4,536
33,4,354
23,4,364
54,4,194
50,4,200
11,4,156
44,4,207
10,4,190
48,5,9001
40,5,4414
29,5,4151
47,5,2690
6,5,2480
22,5,2036
12,5,1745
17,5,1442
28,5,1518
13,5,1152
20,5,878
8,5,731
37,5,748
26,5,660
4,5,661
51,5,625
36,5,564
1,5,625
39,5,562
18,5,578
55,5,476
53,5,438
19,5,415
21,5,429
42,5,395
27,5,439
45,5,386
32,5,353
34,5,291
41,5,255
31,5,269
35,5,244
24,5,211
25,5,186
49,5,258
15,5,209
2,5,184
38,5,127
56,5,143
46,5,116
9,5,104
54,5,118
16,5,101
30,5,84
23,5,58
11,5,33
10,5,63
33,5,46
44,5,-1
50,5,-1
48,6,38725
36,6,20913
4,6,22988
53,6,19789
12,6,17150
32,6,19061
17,6,14073
41,6,10976
8,6,10684
51,6,10225
25,6,8004
13,6,8877
34,6,8042
42,6,7113
37,6,8273
15,6,7065
26,6,6023
39,6,6035
24,6,5401
49,6,6744
27,6,4579
29,6,4459
47,6,4524
18,6,3837
55,6,3572
9,6,3296
35,6,3637
16,6,3381
40,6,3248
22,6,2899
20,6,2796
45,6,2675
11,6,1880
1,6,2198
2,6,2104
21,6,1969
5,6,2039
19,6,1827
31,6,1627
30,6,1459
28,6,1553
33,6,1051
44,6,950
23,6,794
56,6,940
38,6,857
46,6,738
10,6,680
50,6,508
54,6,439
6,8,14858
48,8,14537
12,8,7190
4,8,6291
17,8,4693
36,8,3877
35,8,4313
53,8,3405
20,8,3306
51,8,3079
13,8,3275
42,8,2598
29,8,2782
